fetch_timestamp,title,brand,categoryTitle,priceWas,priceNow,markdownPercentage,stock
2026-02-04 19:57:10,AH Eenpans roerbak verspakket,AH,"Groente, aardappelen",5.69,4.27,25,1
2026-02-04 19:57:10,AH Pittige pompoen wortelsoep verspakket,AH,"Groente, aardappelen",4.59,3.44,25,1
2026-02-04 19:57:10,AH Wokgroente Chinees grootverpakking,AH,"Groente, aardappelen",2.99,2.24,25,1
2026-02-04 19:57:10,AH Eikenblad slamelange grootverpakking,AH,"Groente, aardappelen",2.59,1.94,25,1
2026-02-04 19:57:10,AH IJsbergsla grootverpakking,AH,"Groente, aardappelen",1.99,1.49,25,1
2026-02-04 19:57:10,AH Kleine kastanjechampignons,AH,"Groente, aardappelen",2.09,1.57,25,1
2026-02-04 19:57:10,AH Groentesoep verspakket,AH,"Groente, aardappelen",4.99,3.74,25,1
2026-02-04 19:57:10,AH Luxe wok Japans champignons peultjes,AH,"Groente, aardappelen",2.99,2.24,25,1
2026-02-04 19:57:10,AH Macaroni spaghetti groente klein,AH,"Groente, aardappelen",1.59,1.19,25,1
2026-02-04 19:57:10,AH Macaroni spaghetti groente,AH,"Groente, aardappelen",1.89,1.42,25,1
2026-02-04 19:57:10,AH Gele wortel nasi,AH,"Groente, aardappelen",1.99,1.49,25,1
2026-02-04 19:57:10,AH IJsbergsla fijngesneden,AH,"Groente, aardappelen",1.69,1.27,25,1
2026-02-04 19:57:10,AH Roti verspakket,AH,"Groente, aardappelen",5.89,4.42,25,1
2026-02-04 19:57:10,AH Lasagne verspakket,AH,"Groente, aardappelen",5.49,3.37,25,1
2026-02-04 19:57:10,AH Curry madras verspakket,AH,"Groente, aardappelen",5.89,4.42,25,1
2026-02-04 19:57:10,AH Kip piri piri verspakket,AH,"Groente, aardappelen",5.59,4.19,25,1
2026-02-04 19:57:10,AH Groene curry verspakket,AH,"Groente, aardappelen",5.69,4.27,25,1
2026-02-04 19:57:10,AH Snijbonen kleinverpakking,AH,"Groente, aardappelen",1.99,1.49,25,1
